OBJECTID;Join_Count;TARGET_FID;LINK_ID;POI_ID;SEQ_NUM;FAC_TYPE;POI_NAME;POI_LANGCD;POI_NMTYPE;POI_ST_NUM;ST_NUM_FUL;ST_NFUL_LC;ST_NAME;ST_LANGCD;POI_ST_SD;ACC_TYPE;PH_NUMBER;CHAIN_ID;NAT_IMPORT;PRIVATE;IN_VICIN;NUM_PARENT;NUM_CHILD;PERCFRREF;VANCITY_ID;ACT_ADDR;ACT_LANGCD;ACT_ST_NAM;ACT_ST_NUM;ACT_ADMIN;ACT_POSTAL;AIRPT_TYPE;POLYGON_NM;FED_OKR;BUFF_DIST;ORIG_FID;name_1;all_scales;X;Y
38;1;4957;773101272.0;1101250766.0;1;4100;МЕТРО-МОСКОВСКАЯ;RUS;B; ; ; ;МОСКОВСКИЙ ПРОСПЕКТ;RUS;R; ; ;0.0;N;N;N;1;0;10;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Московская;0;30.32158999961896;59.853329999774004
39;1;4958;1082729598.0;1101250767.0;1;4100;МЕТРО-МОСКОВСКАЯ;RUS;B; ; ; ;МОСКОВСКИЙ ПРОСПЕКТ;RUS;R; ; ;0.0;N;N;N;1;0;15;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Московская;1;30.321799999681264;59.84936000013799
40;1;4959;1082729603.0;1101250765.0;1;4100;МЕТРО-МОСКОВСКАЯ;RUS;B; ; ; ;МОСКОВСКИЙ ПРОСПЕКТ;RUS;L; ; ;0.0;N;N;N;1;0;60;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Московская;0;30.321069999935304;59.85303000056815
41;1;4967;773664196.0;1101253437.0;1;4100;МЕТРО-САДОВАЯ;RUS;B; ; ; ;СЕННАЯ ПЛОЩАДЬ;RUS;L; ; ;0.0;N;N;N;1;0;30;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Садовая;1;30.317909999853615;59.9262599997856
42;1;4984;989142731.0;1101330235.0;1;4100;МЕТРО-ГОСТИНЫЙ ДВОР;RUS;B; ; ; ;НЕВСКИЙ ПРОСПЕКТ;RUS;L; ; ;0.0;N;N;N;1;0;61;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Гостиный двор;1;30.326750000764378;59.935279999994805
43;1;4991;1090596177.0;555748091.0;1;4100;МЕТРО-ВАСИЛЕОСТРОВСКАЯ;RUS;B; ; ; ;СРЕДНИЙ ПРОСПЕКТ;RUS;R; ; ;0.0;N;N;N;0;0;50;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Василеостровская;1;30.278080000017955;59.94297999996761
44;1;4994;778885248.0;555749014.0;1;4100;МЕТРО-ПАРК ПОБЕДЫ;RUS;B; ; ; ;МОСКОВСКИЙ ПРОСПЕКТ;RUS;R; ; ;0.0;N;N;N;0;0;40;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Парк Победы;1;30.320840000679855;59.86642999983746
45;1;4995;785081998.0;555749346.0;1;4100;МЕТРО-ПЛОЩАДЬ АЛЕКСАНДРА НЕВСКОГО;RUS;B; ; ; ; ; ;L; ; ;0.0;N;N;N;1;0;90;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Площадь Александра Невского;1;30.383650000529585;59.92372999987675
46;1;5000;956987881.0;555749691.0;1;4100;МЕТРО-КОМЕНДАНТСКИЙ ПРОСПЕКТ;RUS;B; ; ; ;КОМЕНДАНТСКИЙ ПРОСПЕКТ;RUS;L; ; ;0.0;N;N;N;0;1;46;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Комендантский проспект;1;30.258610000788217;60.00835000004518
47;1;5001;989168349.0;555748651.0;1;4100;МЕТРО-ЧЕРНЫШЕВСКАЯ;RUS;B; ; ; ;ПРОСПЕКТ ЧЕРНЫШЕВСКОГО;RUS;R; ; ;0.0;N;N;N;0;0;81;0.0; ; ; ; ; ; ; ;САНКТ-ПЕТЕРБУРГ;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;64;Чернышевская;1;30.35940000009605;59.944689999800865
